Bot_ID,Tipo,direccion,symbol,Precio_Entrada,Precio_Salida,PnL,Hora_Entrada,Hora_Cierre,Trade_Id
BNB_scalp,SCALP,long,bnbusdt,590.13563371,590.93253678,0.0080,2026-06-21 12:02:06,2026-06-22 18:08:29,BNB_scalp_SCALP_1_1782057726
BNB_scalp,SCALP,long,bnbusdt,591.07602648,590.93253678,-0.0014,2026-06-22 17:57:45,2026-06-22 18:08:29,BNB_scalp_SCALP_2_1782165465
BNB_scalp,SCALP,long,bnbusdt,591.75072108,590.93253678,-0.0082,2026-06-22 18:01:46,2026-06-22 18:08:29,BNB_scalp_SCALP_3_1782165706
BNB_scalp,SCALP,long,bnbusdt,591.63,590.88,-0.0075,2026-06-22 18:09:48,2026-06-22 18:20:42,BNB_scalp_SCALP_4_1782166188
BNB_scalp,SCALP,long,bnbusdt,589.89229654,588.59104082,-0.0130,2026-06-22 18:34:18,2026-06-22 18:37:10,BNB_scalp_SCALP_5_1782167658
BNB_scalp,SCALP,long,bnbusdt,589.39345709,589.22684223,-0.0017,2026-06-22 18:42:09,2026-06-22 19:16:47,BNB_scalp_SCALP_6_1782168129
BNB_scalp,SCALP,long,bnbusdt,589.98485726,589.22684223,-0.0076,2026-06-22 18:56:24,2026-06-22 19:16:47,BNB_scalp_SCALP_7_1782168984
BNB_scalp,SCALP,long,bnbusdt,589.83,590.09,0.0026,2026-06-22 19:19:24,2026-06-22 19:58:24,BNB_scalp_SCALP_8_1782170364
BNB_scalp,SCALP,long,bnbusdt,590.49499723,590.09,-0.0040,2026-06-22 19:23:12,2026-06-22 19:58:24,BNB_scalp_SCALP_9_1782170592
BNB_scalp,SCALP,long,bnbusdt,591.10494831,590.09,-0.0101,2026-06-22 19:36:43,2026-06-22 19:58:24,BNB_scalp_SCALP_10_1782171403
BNB_scalp,SCALP,long,bnbusdt,590.69305704,589.49,-0.0120,2026-06-22 20:03:15,2026-06-22 20:24:19,BNB_scalp_SCALP_11_1782172995
BNB_scalp,SCALP,long,bnbusdt,589.68,591.23,0.0155,2026-06-22 20:30:27,2026-06-22 21:18:21,BNB_scalp_SCALP_12_1782174627
BNB_scalp,SCALP,long,bnbusdt,590.37501136,591.23,0.0085,2026-06-22 20:31:28,2026-06-22 21:18:21,BNB_scalp_SCALP_13_1782174688
BNB_scalp,SCALP,long,bnbusdt,591.03268535,591.23,0.0020,2026-06-22 20:32:43,2026-06-22 21:18:22,BNB_scalp_SCALP_14_1782174763
BNB_scalp,SCALP,long,bnbusdt,591.62864106,591.23,-0.0040,2026-06-22 20:44:57,2026-06-22 21:18:22,BNB_scalp_SCALP_15_1782175497
BNB_scalp,SCALP,long,bnbusdt,592.25,591.23,-0.0102,2026-06-22 21:01:30,2026-06-22 21:18:22,BNB_scalp_SCALP_16_1782176490
BNB_scalp,SCALP,long,bnbusdt,591.7539619,590.91,-0.0084,2026-06-22 21:22:00,2026-06-22 21:34:55,BNB_scalp_SCALP_17_1782177720
BNB_scalp,SCALP,long,bnbusdt,589.44,591.94899689,0.0251,2026-06-22 21:53:21,2026-06-22 23:02:17,BNB_scalp_SCALP_18_1782179601
BNB_scalp,SCALP,long,bnbusdt,590.09746758,591.94899689,0.0185,2026-06-22 21:56:21,2026-06-22 23:02:17,BNB_scalp_SCALP_19_1782179781
BNB_scalp,SCALP,long,bnbusdt,590.69948504,591.94899689,0.0125,2026-06-22 21:58:09,2026-06-22 23:02:17,BNB_scalp_SCALP_20_1782179889
BNB_scalp,SCALP,long,bnbusdt,591.34,591.94899689,0.0061,2026-06-22 22:15:25,2026-06-22 23:02:17,BNB_scalp_SCALP_21_1782180925
BNB_scalp,SCALP,long,bnbusdt,591.95,591.94899689,-0.0000,2026-06-22 22:23:21,2026-06-22 23:02:17,BNB_scalp_SCALP_22_1782181401
BNB_scalp,SCALP,long,bnbusdt,592.56745978,591.94899689,-0.0062,2026-06-22 22:51:24,2026-06-22 23:02:17,BNB_scalp_SCALP_23_1782183084
