Bot_ID,Tipo,direccion,symbol,Precio_Entrada,Precio_Salida,PnL,Hora_Entrada,Hora_Cierre,Trade_Id
BNB_ema,ema,long,bnbusdt,590.27,589.01939474,-0.0125,2026-06-22 00:12:00,2026-06-22 18:30:00,BNB_ema_1_1782101520
BNB_ema,ema,long,bnbusdt,589.69683334,589.2,-0.0050,2026-06-22 18:54:00,2026-06-22 19:18:00,BNB_ema_2_1782168840
BNB_ema,ema,long,bnbusdt,590.38,589.63,-0.0075,2026-06-22 19:03:00,2026-06-22 20:21:00,BNB_ema_3_1782169380
BNB_ema,ema,long,bnbusdt,590.98,590.48079672,-0.0050,2026-06-22 19:57:00,2026-06-22 21:36:00,BNB_ema_4_1782172620
BNB_ema,ema,long,bnbusdt,591.68056999,590.48079672,-0.0120,2026-06-22 20:45:00,2026-06-22 21:36:00,BNB_ema_5_1782175500
BNB_ema,ema,long,bnbusdt,590.82757226,591.03451257,0.0021,2026-06-22 22:03:00,2026-06-22 23:06:00,BNB_ema_6_1782180180
BNB_ema,ema,long,bnbusdt,591.43,591.03451257,-0.0040,2026-06-22 22:21:00,2026-06-22 23:06:00,BNB_ema_7_1782181260
BNB_ema,ema,long,bnbusdt,592.40392877,591.03451257,-0.0137,2026-06-22 22:51:00,2026-06-22 23:06:00,BNB_ema_8_1782183060
